fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
710,"UFC Fight Night: Belfort vs Henderson","Thiago Tavares","Clay Guida",Featherweight,SUB,"Guillotine Choke",1,0:39,b21e4b6c4126c782,451,710,64,1,"Clay Guida",0,3,11,1,1,0,0,0,0:18,451,710,64,1,"Clay Guida",2,10,0,0,1,1,3,11,0,0,0,0
710,"UFC Fight Night: Belfort vs Henderson","Thiago Tavares","Clay Guida",Featherweight,SUB,"Guillotine Choke",1,0:39,b21e4b6c4126c782,452,710,64,1,"Thiago Tavares",0,2,7,0,0,1,0,0,0:01,452,710,64,1,"Thiago Tavares",2,7,0,0,0,0,2,7,0,0,0,0
1913,"UFC 199: Rockhold vs. Bisping 2","Brian Ortega","Clay Guida",Featherweight,KO/TKO,Knee,3,4:40,db1be0ca226d3a2f,453,1913,179,1,"Brian Ortega",0,5,29,0,0,0,0,0,0:00,453,1913,179,1,"Brian Ortega",4,27,1,2,0,0,5,29,0,0,0,0
1913,"UFC 199: Rockhold vs. Bisping 2","Brian Ortega","Clay Guida",Featherweight,KO/TKO,Knee,3,4:40,db1be0ca226d3a2f,454,1913,179,1,"Clay Guida",1,25,72,0,3,0,0,0,0:30,454,1913,179,1,"Clay Guida",12,47,1,4,4,4,15,53,2,2,0,0
1913,"UFC 199: Rockhold vs. Bisping 2","Brian Ortega","Clay Guida",Featherweight,KO/TKO,Knee,3,4:40,db1be0ca226d3a2f,455,1913,179,2,"Brian Ortega",0,25,77,0,0,0,0,0,0:02,455,1913,179,2,"Brian Ortega",20,70,5,7,0,0,24,74,1,3,0,0
1913,"UFC 199: Rockhold vs. Bisping 2","Brian Ortega","Clay Guida",Featherweight,KO/TKO,Knee,3,4:40,db1be0ca226d3a2f,456,1913,179,2,"Clay Guida",0,25,72,0,3,0,0,0,0:02,456,1913,179,2,"Clay Guida",16,62,6,7,3,3,23,70,2,2,0,0
1913,"UFC 199: Rockhold vs. Bisping 2","Brian Ortega","Clay Guida",Featherweight,KO/TKO,Knee,3,4:40,db1be0ca226d3a2f,457,1913,179,3,"Brian Ortega",1,32,83,0,0,0,0,0,0:02,457,1913,179,3,"Brian Ortega",28,78,3,4,1,1,31,82,0,0,1,1
1913,"UFC 199: Rockhold vs. Bisping 2","Brian Ortega","Clay Guida",Featherweight,KO/TKO,Knee,3,4:40,db1be0ca226d3a2f,458,1913,179,3,"Clay Guida",0,20,65,0,0,0,0,0,0:00,458,1913,179,3,"Clay Guida",14,55,6,10,0,0,20,65,0,0,0,0
309,"UFC Fight Night: Reyes vs. Weidman","Yair Rodriguez","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,d2dc6fb05ad78d80,465,309,30,1,"Yair Rodriguez",0,39,70,0,3,0,0,0,0:50,465,309,30,1,"Yair Rodriguez",18,43,9,13,12,14,34,61,4,8,1,1
309,"UFC Fight Night: Reyes vs. Weidman","Yair Rodriguez","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,d2dc6fb05ad78d80,466,309,30,1,"Jeremy Stephens",0,11,25,0,0,0,0,0,0:29,466,309,30,1,"Jeremy Stephens",3,14,4,4,4,6,9,21,2,3,0,0
309,"UFC Fight Night: Reyes vs. Weidman","Yair Rodriguez","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,d2dc6fb05ad78d80,467,309,30,2,"Yair Rodriguez",0,62,97,0,0,0,0,0,2:20,467,309,30,2,"Yair Rodriguez",37,67,2,4,2,2,5,13,2,2,34,58
309,"UFC Fight Night: Reyes vs. Weidman","Yair Rodriguez","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,d2dc6fb05ad78d80,468,309,30,2,"Jeremy Stephens",0,21,34,1,1,0,0,0,1:33,468,309,30,2,"Jeremy Stephens",9,19,2,2,0,1,1,8,4,7,6,7
